Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
04/05/2022,44,0,44,16,2,0,2,6,0,6,0,0,0,0,0,0,0.1818181818,0,0.1818181818
04/06/2022,112,0,112,23,12,0,12,6,0,6,0,0,0,1,0,1,0.1696428571,0,0.1696428571
04/07/2022,137,0,137,27,7,0,7,11,0,11,0,0,0,7,0,7,0.1824817518,0,0.1824817518
04/08/2022,136,0,136,29,9,0,9,10,0,10,1,0,1,2,0,2,0.1617647059,0,0.1617647059
04/09/2022,154,0,154,23,9,0,9,11,0,11,0,0,0,5,0,5,0.1623376623,0,0.1623376623
04/10/2022,194,0,194,23,23,0,23,9,0,9,0,0,0,4,0,4,0.1855670103,0,0.1855670103
04/11/2022,88,0,88,25,2,0,2,2,0,2,0,0,0,0,0,0,0.04545454545,0,0.04545454545
04/12/2022,118,0,118,22,9,0,9,10,0,10,0,0,0,3,0,3,0.186440678,0,0.186440678
04/13/2022,46,0,46,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/14/2022,70,0,70,14,8,0,8,5,0,5,0,0,0,1,0,1,0.2,0,0.2
04/15/2022,75,0,75,16,4,0,4,2,0,2,0,0,0,2,0,2,0.1066666667,0,0.1066666667
04/16/2022,43,0,43,14,5,0,5,3,0,3,0,0,0,2,0,2,0.2325581395,0,0.2325581395
04/17/2022,50,0,50,12,9,0,9,3,0,3,0,0,0,0,0,0,0.24,0,0.24
04/18/2022,76,0,76,17,5,0,5,4,0,4,0,0,0,2,0,2,0.1447368421,0,0.1447368421
04/19/2022,44,0,44,18,2,0,2,3,0,3,0,0,0,0,0,0,0.1136363636,0,0.1136363636
04/20/2022,60,0,60,19,1,0,1,2,0,2,0,0,0,2,0,2,0.08333333333,0,0.08333333333
04/21/2022,23,0,23,10,1,0,1,0,0,0,0,0,0,0,0,0,0.04347826087,0,0.04347826087
04/22/2022,19,0,19,14,2,0,2,3,0,3,0,0,0,0,0,0,0.2631578947,0,0.2631578947
04/23/2022,32,0,32,11,3,0,3,3,0,3,0,0,0,2,0,2,0.25,0,0.25
04/24/2022,32,0,32,10,4,0,4,2,0,2,0,0,0,0,0,0,0.1875,0,0.1875
04/25/2022,28,0,28,6,1,0,1,2,0,2,0,0,0,1,0,1,0.1428571429,0,0.1428571429
04/26/2022,35,0,35,12,0,0,0,2,0,2,0,0,0,1,0,1,0.08571428571,0,0.08571428571
04/27/2022,30,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/28/2022,25,0,25,6,2,0,2,2,0,2,0,0,0,2,0,2,0.24,0,0.24
04/29/2022,11,0,11,6,3,0,3,1,0,1,0,0,0,0,0,0,0.3636363636,0,0.3636363636
04/30/2022,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
05/01/2022,6,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/02/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/03/2022,52,0,52,18,6,0,6,5,0,5,0,0,0,3,0,3,0.2692307692,0,0.2692307692
05/04/2022,24,0,24,12,0,0,0,1,0,1,0,0,0,0,0,0,0.04166666667,0,0.04166666667
05/05/2022,17,0,17,6,1,0,1,0,0,0,0,0,0,0,0,0,0.05882352941,0,0.05882352941
05/06/2022,21,0,21,9,2,0,2,2,0,2,0,0,0,2,0,2,0.2857142857,0,0.2857142857
05/07/2022,38,0,38,9,4,0,4,1,0,1,0,0,0,0,0,0,0.1315789474,0,0.1315789474
05/08/2022,10,0,10,2,3,0,3,0,0,0,0,0,0,0,0,0,0.3,0,0.3
05/09/2022,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/10/2022,5,0,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0.2,0,0.2
05/11/2022,35,0,35,11,4,0,4,0,0,0,0,0,0,0,0,0,0.1142857143,0,0.1142857143
05/12/2022,51,0,51,14,9,0,9,2,0,2,0,0,0,1,0,1,0.2352941176,0,0.2352941176
05/13/2022,54,0,54,17,3,0,3,3,0,3,0,0,0,2,0,2,0.1481481481,0,0.1481481481
05/14/2022,14,0,14,3,1,0,1,0,0,0,0,0,0,0,0,0,0.07142857143,0,0.07142857143
05/15/2022,7,0,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0.1428571429,0,0.1428571429
05/16/2022,42,0,42,12,2,0,2,2,0,2,0,0,0,2,0,2,0.1428571429,0,0.1428571429
05/17/2022,56,0,56,18,5,0,5,3,0,3,0,0,0,2,0,2,0.1785714286,0,0.1785714286
05/18/2022,27,0,27,5,1,0,1,0,0,0,0,0,0,0,0,0,0.03703703704,0,0.03703703704
05/19/2022,8,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/20/2022,28,0,28,11,2,0,2,3,0,3,0,0,0,2,0,2,0.25,0,0.25
05/21/2022,13,0,13,4,1,0,1,0,0,0,0,0,0,0,0,0,0.07692307692,0,0.07692307692
05/22/2022,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/23/2022,37,0,37,11,4,0,4,2,0,2,0,0,0,2,0,2,0.2162162162,0,0.2162162162
05/24/2022,36,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/25/2022,40,0,40,11,5,0,5,2,0,2,0,0,0,2,0,2,0.225,0,0.225
05/26/2022,31,0,31,13,0,0,0,1,0,1,0,0,0,0,0,0,0.03225806452,0,0.03225806452
05/27/2022,38,0,38,4,1,0,1,0,0,0,0,0,0,0,0,0,0.02631578947,0,0.02631578947
05/28/2022,65,0,65,18,8,0,8,3,0,3,0,0,0,2,0,2,0.2,0,0.2
05/29/2022,176,0,176,19,12,0,12,21,0,21,0,0,0,10,0,10,0.2443181818,0,0.2443181818
05/30/2022,142,0,142,27,6,0,6,10,0,10,0,0,0,5,0,5,0.1478873239,0,0.1478873239
05/31/2022,93,0,93,18,2,0,2,3,0,3,0,0,0,0,0,0,0.05376344086,0,0.05376344086
06/01/2022,34,0,34,16,1,0,1,6,0,6,0,0,0,2,0,2,0.2647058824,0,0.2647058824
06/02/2022,100,0,100,24,4,0,4,5,0,5,0,0,0,3,0,3,0.12,0,0.12
06/03/2022,60,0,60,18,1,0,1,3,0,3,0,0,0,1,0,1,0.08333333333,0,0.08333333333
06/04/2022,29,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2022,12,0,12,4,3,0,3,0,0,0,0,0,0,0,0,0,0.25,0,0.25
06/06/2022,68,0,68,21,3,0,3,4,0,4,0,0,0,2,0,2,0.1323529412,0,0.1323529412
06/07/2022,35,0,35,14,2,0,2,2,0,2,0,0,0,1,0,1,0.1428571429,0,0.1428571429
06/08/2022,32,0,32,11,3,0,3,7,0,7,0,0,0,0,0,0,0.3125,0,0.3125
06/09/2022,48,0,48,13,6,0,6,2,0,2,0,0,0,1,0,1,0.1875,0,0.1875
06/10/2022,14,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/11/2022,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/12/2022,10,0,10,5,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0.1
06/13/2022,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/14/2022,29,0,29,10,2,0,2,2,0,2,0,0,0,1,0,1,0.1724137931,0,0.1724137931
06/15/2022,43,0,43,14,2,0,2,2,0,2,0,0,0,2,0,2,0.1395348837,0,0.1395348837
06/16/2022,67,0,67,12,8,0,8,2,0,2,0,0,0,1,0,1,0.1641791045,0,0.1641791045
06/17/2022,20,0,20,9,0,0,0,0,0,0,0,0,0,1,0,1,0.05,0,0.05
